date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-07-11 00:00:00,27.3,25,31,25,,,13.7,,1008.5,
2024-07-12 00:00:00,28,26,32,4.4,,,18.1,,1006.8,
2024-07-13 00:00:00,28,25,31,29.4,,,16.7,,1005.4,
2024-07-14 00:00:00,26.8,24,31,12.2,,,18.1,,1005.3,
2024-07-15 00:00:00,27.7,23,33,15.9,,,14.3,,1005.1,
2024-07-16 00:00:00,26.9,24,31,9.2,,,15,,1005.3,
2024-07-17 00:00:00,26.4,25,32,14.4,,,19,,1006.1,
2024-07-18 00:00:00,27.2,24,31,21.7,,,15.3,,1007.2,
2024-07-19 00:00:00,27.5,24,31,3.9,,,15.1,,1007.1,
2024-07-20 00:00:00,27,25,29,18.4,,,12.7,,1007.6,
2024-07-21 00:00:00,28.2,26,32,13.1,,,14.6,,1007.5,
2024-07-22 00:00:00,27.9,26,31,7.8,,,17.9,,1007.9,
2024-07-23 00:00:00,29.4,26,33,2.5,,,19.6,,1007.4,
2024-07-24 00:00:00,29.6,27,33,0.1,,,20.9,,1005.7,
2024-07-25 00:00:00,28,25,32,8.7,,,18,,1004.8,
2024-07-26 00:00:00,28,25,32,13.8,,,16.4,,1006,
2024-07-27 00:00:00,27.5,25,30,23.3,,,13.3,,1007.6,
2024-07-28 00:00:00,28.3,26,31,23.3,,,14.2,,1007.5,
2024-07-29 00:00:00,29.2,26,33,14.9,,,13.9,,1007.1,
2024-07-30 00:00:00,29.7,27,34,4.4,,,14.9,,1008.6,
2024-07-31 00:00:00,29.6,27,34,12.6,,,13.2,,1010.1,
2024-08-01 00:00:00,29.8,27,35,3.5,,,10.8,,1010,
2024-08-02 00:00:00,29.7,25,35,17.1,,,9.9,,1009.3,
2024-08-03 00:00:00,28.3,26,32,9.8,,,10.2,,1009.4,
2024-08-04 00:00:00,27.2,26,30,4.9,,,11.2,,1009.5,
2024-08-05 00:00:00,28.9,25,34,19,,,10.7,,1008.6,
2024-08-06 00:00:00,28.8,26,34,9.5,,,12.3,,1007.7,
2024-08-07 00:00:00,29.7,27,34,10.3,,,12.9,,1008.5,
2024-08-08 00:00:00,30.2,27,35,0,,,13.6,,1008.9,
2024-08-09 00:00:00,29.8,27,34,2.5,,,13.1,,1008.3,
2024-08-10 00:00:00,30.6,27,35,2.8,,,15,,1007.3,
2024-08-11 00:00:00,30.6,28,35,1.8,,,17.9,,1005.8,
2024-08-12 00:00:00,29,26,35,7.4,,,18.8,,1006.5,
2024-08-13 00:00:00,30,26,35,0.7,,,11,,1007.6,
2024-08-14 00:00:00,30.1,26,35,3,,,12.8,,1007.3,
2024-08-15 00:00:00,30.1,27,35,7.2,,,13,,1006.6,
2024-08-16 00:00:00,30,27,34,6.9,,,12.5,,1006.8,
2024-08-17 00:00:00,29.4,26,34,7.5,,,9,,1008.2,
2024-08-18 00:00:00,30.8,26,35,0.1,,,9,,1008.4,
2024-08-19 00:00:00,30.3,28,34,0,,,11.1,,1008.1,
2024-08-20 00:00:00,29.6,26,35,0.8,,,9.6,,1008.7,
2024-08-21 00:00:00,29.7,26,34,1.6,,,8,,1009.7,
2024-08-22 00:00:00,30,26,35,2,,,8,,1009.4,
2024-08-23 00:00:00,28.7,27,33,3.1,,,8.4,,1010.2,
2024-08-24 00:00:00,28.8,24,34,1.4,,,6.9,,1009.6,
2024-08-25 00:00:00,27.5,25,33,3.4,,,9.5,,1008.7,
2024-08-26 00:00:00,28.1,25,33,6.7,,,9.6,,1008.4,
2024-08-27 00:00:00,27.8,26,31.3,6.6,,,9.4,,1008.8,
2024-08-28 00:00:00,27.7,26,32,,,,12.9,,1008.6,
2024-08-29 00:00:00,28.2,25,31,,,,17.2,,1008.8,
2024-08-30 00:00:00,28.5,24,33,,,,15.4,,1009.1,
2024-08-31 00:00:00,27,24,32,,,,9.2,,1008.8,
2024-09-01 00:00:00,26.6,24,31,,,,9.7,,1008.1,
2024-09-02 00:00:00,26.6,24,30,,,,9,,1008.3,
2024-09-03 00:00:00,28,25,32,,,,15.7,,1008.7,
2024-09-04 00:00:00,26.5,25,30,,,,12.9,,1007.5,
2024-09-05 00:00:00,28.5,25,33,13.7,,,15.8,,1004.6,
2024-09-06 00:00:00,28.2,26,32,10.9,,,20.1,,1004.7,
2024-09-07 00:00:00,28.9,25,32,12.4,,,20.8,,1007,
2024-09-08 00:00:00,28.8,26,32,26.4,,,16.4,,1008.6,
2024-09-09 00:00:00,29.8,27,34,5.8,,,15,,1006.9,
2024-09-10 00:00:00,29.2,27,34,20.6,,,11.5,,1006.1,
2024-09-11 00:00:00,27.8,25,34,6.3,,,8.8,,1007.7,
2024-09-12 00:00:00,28.3,26,33,14.7,,,8.7,,1008.1,
2024-09-13 00:00:00,27.8,24,33,21.3,,,12.4,,1006.6,
2024-09-14 00:00:00,28,25,31,20.6,,,15.5,,1005.2,
2024-09-15 00:00:00,27.5,26,30,9.3,,,13.5,,1004.7,
2024-09-16 00:00:00,27.8,26,31,23.6,,,14.5,,1003.8,
2024-09-17 00:00:00,26.7,25,29,20.8,,,13.1,,1002.7,
2024-09-18 00:00:00,25.5,23,28,25.4,,,8.5,,1001.5,
2024-09-19 00:00:00,28.1,25,32,3.4,,,18.1,,1001.9,
2024-09-20 00:00:00,27,25,31,8.8,,,15.3,,1004,
2024-09-21 00:00:00,26.1,25,30,17.3,,,15.2,,1006.3,
2024-09-22 00:00:00,26.4,25,28,10.7,,,8.2,,1007.7,
2024-09-23 00:00:00,27.8,25,32,27.3,,,8.5,,1009.5,
2024-09-24 00:00:00,28.2,26,32,4.9,,,4.6,,1009.5,
2024-09-25 00:00:00,28.4,26,34,3.4,,,6,,1009.9,
2024-09-26 00:00:00,28.5,25,33,8.3,,,9.2,,1009.8,
2024-09-27 00:00:00,28.7,26,33,5.4,,,9.8,,1009.5,
2024-09-28 00:00:00,29.8,27,34,0.6,,,9.1,,1008.8,
2024-09-29 00:00:00,30.5,27,35,3.1,,,10.9,,1008.3,
2024-09-30 00:00:00,30.3,27,34,17.9,,,12.5,,1007.4,
2024-10-01 00:00:00,29.3,24,35,6.1,,,10.2,,1007.1,
2024-10-02 00:00:00,29.8,27,34,5.2,,,8.4,,1008.8,
2024-10-03 00:00:00,27.4,26,30,22.5,,,8.4,,1009.8,
2024-10-04 00:00:00,27.8,25,34,4.5,,,8.7,,1009.7,
2024-10-05 00:00:00,27.9,25,33,0.7,,,7.2,,1009,
2024-10-06 00:00:00,27.8,25,32,12.5,,,8.8,,1009.8,
2024-10-07 00:00:00,28.6,25,33,12,,,7.4,,1010.4,
2024-10-08 00:00:00,27,24,32,11.2,,,7.4,,1010,
2024-10-09 00:00:00,27.5,24,33,13.2,,,6.5,,1009.1,
2024-10-10 00:00:00,27.3,25,32,4.3,,,7.5,,1008.6,
2024-10-11 00:00:00,28.7,26,34,7.2,,,6.9,,1008.3,
2024-10-12 00:00:00,28.5,26,34,9.8,,,8.7,,1009,
2024-10-13 00:00:00,27.7,25,35,7,,,9.5,,1008.9,
2024-10-14 00:00:00,28.2,25,33,6.7,,,7.6,,1008.3,
2024-10-15 00:00:00,28,24,31,11.7,,,5.1,,1009,
2024-10-16 00:00:00,27.1,25,32,16.4,,,8.6,,1009.7,
2024-10-17 00:00:00,27,25,32,13.2,,,6.5,,1009.8,
2024-10-18 00:00:00,26.7,25,30,11,,,6.9,,1009.5,
2024-10-19 00:00:00,28,25,31,17.5,,,8.7,,1010,
2024-10-20 00:00:00,27.8,23,33,32.1,,,7.9,,1010.8,
2024-10-21 00:00:00,27.2,24,32,24.4,,,9.6,,1009.5,
2024-10-22 00:00:00,27.6,25,31,12.9,,,8.4,,1008.5,
2024-10-23 00:00:00,28,26,31,12.8,,,9.7,,1008.7,
2024-10-24 00:00:00,29.5,26,34,0.4,,,9.4,,1007.9,
2024-10-25 00:00:00,29.1,26,33,0.1,,,11.2,,1007.1,
2024-10-26 00:00:00,29.3,26,33,0,,,14.2,,1005.3,
2024-10-27 00:00:00,26.2,22,28,9.9,,,9.2,,1004.9,
2024-10-28 00:00:00,25.2,24,27,44.3,,,9.2,,1005.7,
2024-10-29 00:00:00,27.2,24,30,6.1,,,10.5,,1007.4,
2024-10-30 00:00:00,29,25,33,3.3,,,12,,1008.6,
2024-10-31 00:00:00,28.3,26,32,1,,,9.8,,1008.1,
2024-11-01 00:00:00,29.2,26,34,9,,,9.4,,1008.2,
2024-11-02 00:00:00,28.8,25,33,13.3,,,13.8,,1009.6,
2024-11-03 00:00:00,27.1,24,33,0,,,6.7,,1009.8,
2024-11-04 00:00:00,28.1,25,33,11.8,,,7.6,,1009.6,
2024-11-05 00:00:00,27.5,25,33,7.7,,,7.8,,1010.1,
2024-11-06 00:00:00,27.5,25,32,5.6,,,7.6,,1010.5,
2024-11-07 00:00:00,28.2,24,33,1.6,,,5.3,,1010.3,
2024-11-08 00:00:00,27.4,25,32,2.9,,,6.6,,1010.1,
2024-11-09 00:00:00,27.5,25,33,8.3,,,7,,1010,
2024-11-10 00:00:00,28.1,25,32,1,,,7.3,,1010.3,
2024-11-11 00:00:00,29,25,33,0,,,7,,1009.2,
2024-11-12 00:00:00,29.4,26,33,0.7,,,7.9,,1008.3,
2024-11-13 00:00:00,28.5,26,31,1.6,,,10.1,,1008,
2024-11-14 00:00:00,29.2,26,33,0,,,12.3,,1008.7,
2024-11-15 00:00:00,28.8,26,31,0.2,,,9.5,,1008.7,
2024-11-16 00:00:00,29.4,26,34,0,,,10.8,,1008.3,
2024-11-17 00:00:00,28.9,25,33,0.2,,,9.2,,1008.4,
2024-11-18 00:00:00,29.1,25,34,0,,,6.9,,1008.3,
2024-11-19 00:00:00,29.6,26,34,0.8,,,8.3,,1009.1,
2024-11-20 00:00:00,28.6,25,33,5.5,,,6.6,,1008.8,
2024-11-21 00:00:00,28.9,25,34,9.2,,,7.6,,1007.9,
2024-11-22 00:00:00,28.5,23,34,0.7,,,5.9,,1008.4,
2024-11-23 00:00:00,28.2,24,32,0.3,,,5.7,,1009.1,
2024-11-24 00:00:00,29.7,26,34,7.1,,,7,,1009.1,
2024-11-25 00:00:00,29.2,25,34,0,,,8.3,,1008.8,
2024-11-26 00:00:00,28.6,26,32,0,,,8.2,,1008.4,
2024-11-27 00:00:00,29,25,34,0.1,,,9,,1008.4,
2024-11-28 00:00:00,28.5,25,32,0.8,,,14.3,,1009.8,
2024-11-29 00:00:00,27.1,25,30,2.2,,,10.2,,1009.8,
2024-11-30 00:00:00,26.5,23,30,7.6,,,8.8,,1009,
2024-12-01 00:00:00,27.6,23,32,0.1,,,8,,1007.8,
2024-12-02 00:00:00,28.6,26,33,0.4,,,7.2,,1007,
2024-12-03 00:00:00,26.7,25,28,2.4,,,6,,1008,
2024-12-04 00:00:00,26.5,24,30,8.9,,,7.8,,1008,
2024-12-05 00:00:00,27.6,24,31,13.4,,,6.7,,1007.7,
2024-12-06 00:00:00,28.8,25,33,2.1,,,8.1,,1007.8,
2024-12-07 00:00:00,27.8,26,31,8.2,,,7.6,,1008.8,
2024-12-08 00:00:00,28.1,24,32,0.8,,,10,,1009.7,
2024-12-09 00:00:00,28.2,25,32,0,,,9.5,,1009.4,
2024-12-10 00:00:00,28,24,32,,,,10.4,,1008.9,
2024-12-11 00:00:00,27,25,31,,,,8.3,,1008.2,
2024-12-12 00:00:00,27.2,25,30,,,,8.2,,1007.7,
2024-12-13 00:00:00,26.8,24,29,,,,7.2,,1008.8,
2024-12-14 00:00:00,26.2,25,28,4.7,,,8.6,,1009.8,
2024-12-15 00:00:00,25.6,25,28,15,,,5.1,,1011.1,
2024-12-16 00:00:00,26.5,23,31,0,,,5.7,,1011.5,
2024-12-17 00:00:00,27,23,32,0,,,7.5,,1010.7,
2024-12-18 00:00:00,27.2,23,31,0,,,6.9,,1010,
2024-12-19 00:00:00,27.7,23,33,0,,,9,,1010,
2024-12-20 00:00:00,26.5,22,31,0,,,8.2,,1010,
2024-12-21 00:00:00,26,22,30,0,,,5.9,,1010.7,
2024-12-22 00:00:00,24.3,21,29,0,,,8.7,,1010.2,
2024-12-23 00:00:00,25.9,20,31,0,,,8.8,,1009,
2024-12-24 00:00:00,27.4,25,31,0.3,,,13.9,,1009.6,
2024-12-25 00:00:00,28,25,33,0.3,,,15.2,,1010.2,
2024-12-26 00:00:00,28.5,25,33,3.2,,,9.6,,1011.5,
2024-12-27 00:00:00,27.1,23,31,11.7,,,8.1,,1012.2,
2024-12-28 00:00:00,27.1,24,32,8,,,6.4,,1012.2,
2024-12-29 00:00:00,27.3,23,32,0,,,9.1,,1011.7,
2024-12-30 00:00:00,26.7,22,32,0,,,8.4,,1011.5,
2024-12-31 00:00:00,27.8,25,31,0,,,9,,1010.6,
2025-01-01 00:00:00,28.1,24,31,0,,,7.2,,1009.2,
2025-01-02 00:00:00,27.5,25,31,0.5,,,7.6,,1009.4,
2025-01-03 00:00:00,28.5,25,32,3,,,9.5,,1009.6,
2025-01-04 00:00:00,27.6,23,32,0,,,8.2,,1009.8,
2025-01-05 00:00:00,27.4,23,32,0,,,9,,1010.9,
2025-01-06 00:00:00,27,22,31,0,,,7.7,,1010.6,
2025-01-07 00:00:00,26.8,22,33,0,,,9.5,,1010.8,
2025-01-08 00:00:00,27,23,32,0,,,7.3,,1010.9,
2025-01-09 00:00:00,26.8,23,32,0,,,7.6,,1011.7,
2025-01-10 00:00:00,27.9,25,33,0,,,8,,1012.8,
2025-01-11 00:00:00,26.6,22,33,0,,,11.7,,1013.6,
2025-01-12 00:00:00,26,22,32,0,,,12.7,,1013.1,
2025-01-13 00:00:00,24.7,19,31,0,,,10.9,,1012,
2025-01-14 00:00:00,25.4,21,32,9,,,7.1,,1011.8,
2025-01-15 00:00:00,27.9,24,33,1,,,7.3,,1011.3,
2025-01-16 00:00:00,28.3,24,34,0,,,12.5,,1011.8,
2025-01-17 00:00:00,26.8,22,32,0,,,10.4,,1011,
2025-01-18 00:00:00,26.8,22,32,0,,,7.4,,1010.3,
2025-01-19 00:00:00,27.5,23,33,0,,,8.1,,1009.4,
2025-01-20 00:00:00,27.1,24,31,0,,,8.8,,1009.2,
2025-01-21 00:00:00,26.5,22,31,0,,,8.3,,1010,
2025-01-22 00:00:00,26.8,23,32,0,,,8.1,,1010.2,
2025-01-23 00:00:00,27.5,24,31,0,,,6.6,,1010.3,
2025-01-24 00:00:00,27.8,24,34,0,,,9.5,,1009,
2025-01-25 00:00:00,28.2,24,33,0.2,,,9.4,,1009,
2025-01-26 00:00:00,27.7,25,32,0,,,9.5,,1009.3,
2025-01-27 00:00:00,26.5,23,32,0,,,7.2,,1009.8,
2025-01-28 00:00:00,25.8,21,30,0,,,8.2,,1012.5,
2025-01-29 00:00:00,24.5,20,30,0,,,9,,1013.8,
2025-01-30 00:00:00,24.7,20,30,0,,,8.3,,1011.3,
2025-01-31 00:00:00,26.5,20,33,0,,,7.2,,1009.8,
2025-02-01 00:00:00,27.2,23,33,0,,,11,,1008.9,
2025-02-02 00:00:00,27.4,22,34,0,,,7.7,,1008.9,
2025-02-03 00:00:00,28.2,25,33,0,,,8.9,,1009.3,
2025-02-04 00:00:00,27.6,23,33,0,,,8.5,,1010.3,
2025-02-05 00:00:00,27,22,33,0,,,9.2,,1010,
2025-02-06 00:00:00,26.8,21,33,0,,,10.1,,1009.8,
2025-02-07 00:00:00,27.1,22,33,0,,,7.1,,1010.2,
2025-02-08 00:00:00,27.3,22,33,0,,,9,,1010.3,
2025-02-09 00:00:00,26.8,21,32,0,,,10.4,,1010.7,
2025-02-10 00:00:00,27.1,23,32,0,,,8.7,,1010.8,
2025-02-11 00:00:00,27.8,24,32,16.3,,,8.3,,1010.7,
2025-02-12 00:00:00,27.9,24,33,1.6,,,9.7,,1010.7,
2025-02-13 00:00:00,27,25,31,8,,,10,,1011.2,
2025-02-14 00:00:00,27.8,25,31,1.2,,,9.3,,1010.4,
2025-02-15 00:00:00,28,26,32,2.7,,,10.1,,1009.5,
2025-02-16 00:00:00,28.5,25,33,0.1,,,10.4,,1010.3,
2025-02-17 00:00:00,28.8,24,33,0,,,9.3,,1011.5,
2025-02-18 00:00:00,28.6,25,33,0.6,,,8.6,,1011.5,
2025-02-19 00:00:00,27,24,31,2.9,,,9.2,,1011.4,
2025-02-20 00:00:00,28.1,24,33,0.6,,,8,,1011.2,
2025-02-21 00:00:00,28.2,25,33,6.3,,,9.2,,1012,
2025-02-22 00:00:00,27.2,24,31,33.5,,,8.1,,1012,
2025-02-23 00:00:00,28.1,26,31,18.3,,,12.8,,1013,
2025-02-24 00:00:00,29.2,25,34,0,,,12.3,,1013.5,
2025-02-25 00:00:00,28.4,24,32,0.2,,,9.7,,1014.3,
2025-02-26 00:00:00,29.6,26,34,0,,,10.4,,1014,
2025-02-27 00:00:00,29,25,34,0,,,11,,1011.7,
2025-02-28 00:00:00,29.3,25,35,0,,,11.6,,1011.3,
2025-03-01 00:00:00,28.7,23.6,35,0,,,13.3,,1010.2,
2025-03-02 00:00:00,28.7,26,33,0,,,15.4,,1009,
2025-03-03 00:00:00,29.2,25,35,0,,,14.9,,1008.3,
2025-03-04 00:00:00,28.8,26,33,0,,,11.2,,1008.2,
2025-03-05 00:00:00,29.1,26,34,0,,,11.2,,1007.8,
2025-03-06 00:00:00,29.5,27,34,0,,,15.6,,1009.2,
2025-03-07 00:00:00,30,26,35,1.3,,,13.6,,1008.8,
2025-03-08 00:00:00,29.8,26,35,0.9,,,8.7,,1009.8,
2025-03-09 00:00:00,29.5,26,34,0.2,,,13.3,,1011.2,
2025-03-10 00:00:00,29.8,26,36,0.9,,,12.2,,1011.3,
2025-03-11 00:00:00,29.4,26,35,0.5,,,9.7,,1010.2,
2025-03-12 00:00:00,30.5,27,36,2.6,,,14.8,,1009.5,
2025-03-13 00:00:00,30.1,24.1,35,0,,,16.7,,1010.3,
2025-03-14 00:00:00,30.1,27,36,0,,,14.2,,1010.6,
2025-03-15 00:00:00,29.7,27,34,,,,14.5,,1010.8,
2025-03-16 00:00:00,29.2,27,34,,,,14.3,,1010.7,
2025-03-17 00:00:00,29.1,26,34,,,,9.4,,1010.7,
2025-03-18 00:00:00,30,26,35,,,,7.8,,1011.6,
2025-03-19 00:00:00,29.6,25,35,,,,11.2,,1012.8,
2025-03-20 00:00:00,28.2,24,33.3,,,,11.4,,1013.3,
2025-03-21 00:00:00,28.8,24,35,,,,10.2,,1013.2,
2025-03-22 00:00:00,29.5,25,36,0,,,9.2,,1012.2,
2025-03-23 00:00:00,29.2,25,35,0,,,9.5,,1011.8,
2025-03-24 00:00:00,28.5,24,35,0,,,10,,1010.1,
2025-03-25 00:00:00,27.9,26,32,0,,,13.5,,1008,
2025-03-26 00:00:00,27.9,24,32,0,,,12.9,,1006.6,
2025-03-27 00:00:00,28.5,25,33,0,,,13.2,,1006.1,
2025-03-28 00:00:00,29.3,26,34,0,,,13.4,,1006.5,
2025-03-29 00:00:00,29.5,27,34,0,,,15.9,,1007.8,
2025-03-30 00:00:00,30.5,27,36,1.3,,,14.9,,1009.2,
2025-03-31 00:00:00,28.9,26,32,4.3,,,7.8,,1009.1,
2025-04-01 00:00:00,28.1,26,31,30.5,,,6.7,,1009.2,
2025-04-02 00:00:00,29,25,34,0.7,,,13.1,,1010,
2025-04-03 00:00:00,30.1,26,36,0,,,13.2,,1011,
2025-04-04 00:00:00,29.8,25,35,0,,,13.5,,1010.2,
2025-04-05 00:00:00,29.6,26,35,0,,,15.6,,1009.8,
2025-04-06 00:00:00,29.8,26,35,0,,,15.7,,1010.2,
2025-04-07 00:00:00,30.6,27,37,0,,,14.1,,1010.8,
2025-04-08 00:00:00,30.2,27,34,0,,,12.4,,1011.4,
2025-04-09 00:00:00,30.1,27,35,0.2,,,14.6,,1009.7,
2025-04-10 00:00:00,29.4,27,35,1.1,,,11,,1008.2,
2025-04-11 00:00:00,30,26,35,0,,,11.6,,1007.8,
2025-04-12 00:00:00,30.9,27,36,0,,,11.4,,1008.6,
2025-04-13 00:00:00,30.7,28,35,5.2,,,14.7,,1008.9,
2025-04-14 00:00:00,30.9,27,36,4,,,13.5,,1009.6,
2025-04-15 00:00:00,29.8,27,35,8.3,,,10.8,,1009.5,
2025-04-16 00:00:00,30.4,28,35,1.1,,,14.3,,1009.2,
2025-04-17 00:00:00,30.3,27,35,,,,9.1,,1008.8,
2025-04-18 00:00:00,31,28,36,,,,11.7,,1008.2,
2025-04-19 00:00:00,31.2,28,37,,,,13,,1008,
2025-04-20 00:00:00,30.8,28,36,0,,,14.8,,1008.5,
2025-04-21 00:00:00,30.9,28,36,0,,,13.9,,1009.9,
2025-04-22 00:00:00,30.4,28,35,0,,,14.9,,1010.2,
2025-04-23 00:00:00,29.8,25,36,4.1,,,9.8,,1009.1,
2025-04-24 00:00:00,29.8,26,35,3.9,,,8.5,,1008.8,
2025-04-25 00:00:00,30.6,25,36,1.2,,,10.5,,1008.9,
2025-04-26 00:00:00,29.1,25,34,5.5,,,10.5,,1009.5,
2025-04-27 00:00:00,29.6,25,35,0,,,11,,1009.7,
2025-04-28 00:00:00,31,28,36,0,,,13.8,,1008.3,
2025-04-29 00:00:00,30.9,28,36,0,,,11.5,,1008.6,
2025-04-30 00:00:00,30.7,26,36,0.1,,,10.3,,1008.3,
2025-05-01 00:00:00,31.1,29,35,6.2,,,13.8,,1008.9,
2025-05-02 00:00:00,31,29,35,23.3,,,15.7,,1008.2,
2025-05-03 00:00:00,29.6,26,34,10.9,,,14.1,,1008.3,
2025-05-04 00:00:00,29.7,26,35,5.9,,,8.7,,1007.3,
2025-05-05 00:00:00,30.6,28,35,0.7,,,13.6,,1007.3,
2025-05-06 00:00:00,30.9,28,36,6.6,,,12.8,,1007.2,
2025-05-07 00:00:00,31,25,37,1.4,,,11.8,,1006.6,
2025-05-08 00:00:00,31.4,28,35,1.4,,,13.5,,1006.4,
2025-05-09 00:00:00,30.8,28,35,1.8,,,11.6,,1006.5,
2025-05-10 00:00:00,27,24,29,9.3,,,8.5,,1007.3,
2025-05-11 00:00:00,29.2,25,34,16.1,,,6.9,,1006,
2025-05-12 00:00:00,29,25,34,13.9,,,6.7,,1006.2,
2025-05-13 00:00:00,29.8,27,35,10.3,,,7.4,,1007.9,
2025-05-14 00:00:00,30.1,27,35,7.3,,,11.4,,1008.9,
2025-05-15 00:00:00,29.3,26,35,9.8,,,9.9,,1008.9,
2025-05-16 00:00:00,30.2,26,35,7.6,,,10.5,,1008.2,
2025-05-17 00:00:00,29.9,26,33,0.5,,,12.4,,1008.6,
2025-05-18 00:00:00,30.8,28,35,3.1,,,13,,1007.8,
2025-05-19 00:00:00,30.4,28,34,16.9,,,13.2,,1007.5,
2025-05-20 00:00:00,29.4,28,32,1.5,,,8.5,,1007.5,
2025-05-21 00:00:00,29,26,34,6.8,,,7.9,,1007.2,
2025-05-22 00:00:00,28,26,33,15.3,,,8.6,,1006,
2025-05-23 00:00:00,28.2,26,32,12.8,,,9.4,,1005,
2025-05-24 00:00:00,27.5,25,32,25.8,,,7.2,,1006.1,
2025-05-25 00:00:00,28.8,25,33,20.7,,,10.2,,1008,
2025-05-26 00:00:00,29.8,26,34,3.1,,,10.4,,1008.3,
2025-05-27 00:00:00,30.7,27,34,5.7,,,13.3,,1007.4,
2025-05-28 00:00:00,29.9,26,33,25.4,,,8.8,,1006.7,
2025-05-29 00:00:00,27.8,25,33,11.7,,,11.3,,1008.2,
2025-05-30 00:00:00,28.9,25,33,2.4,,,11.6,,1009.5,
2025-05-31 00:00:00,28,26,32,3,,,13.2,,1010.1,
2025-06-01 00:00:00,28.9,24,34,3.7,,,11.8,,1009.5,
2025-06-02 00:00:00,28.4,26,32,5.1,,,12,,1008.8,
2025-06-03 00:00:00,27,25,29,11.8,,,11.6,,1008.2,
2025-06-04 00:00:00,28.2,25,34,4.9,,,10.2,,1008,
2025-06-05 00:00:00,29.3,26,33,6.8,,,13.4,,1007.7,
2025-06-06 00:00:00,29.6,27,34,17.3,,,15,,1007.7,
2025-06-07 00:00:00,28.5,27,32,11.9,,,12.1,,1007.5,
2025-06-08 00:00:00,28.2,26,31,22.7,,,16.1,,1007.1,
2025-06-09 00:00:00,28,26,32,8.9,,,15.8,,1006.2,
2025-06-10 00:00:00,27.3,24,32,14,,,13.5,,1005.2,
2025-06-11 00:00:00,27,25,30,12.9,,,15.6,,1005,
2025-06-12 00:00:00,27.7,25,31,5.5,,,20,,1005.4,
2025-06-13 00:00:00,27.6,26,32,7.7,,,16.5,,1007.6,
2025-06-14 00:00:00,29,27,33,21.9,,,12.2,,1008.8,
2025-06-15 00:00:00,29.9,26,33,3.4,,,11.9,,1007.9,
2025-06-16 00:00:00,29.3,26,34,17,,,10.2,,1007.7,
2025-06-17 00:00:00,28.4,25,33,13.4,,,7,,1008.4,
2025-06-18 00:00:00,28.9,26,33,17.2,,,8.7,,1008.2,
2025-06-19 00:00:00,29,26,34,5.7,,,10.6,,1007.5,
2025-06-20 00:00:00,27.5,25,33,12.6,,,9.9,,1007.7,
2025-06-21 00:00:00,27.9,25,34,10,,,10.4,,1007.5,
2025-06-22 00:00:00,27.5,25,30,13.5,,,18,,1008.3,
2025-06-23 00:00:00,28.8,26,32,1.3,,,17.6,,1007.8,
2025-06-24 00:00:00,28.7,26,32,2.3,,,14.3,,1007.2,
2025-06-25 00:00:00,28.3,26,33,17.2,,,13.4,,1007.9,
2025-06-26 00:00:00,26.7,24,31,8.8,,,10,,1008.8,
2025-06-27 00:00:00,26.5,25,32,9.9,,,10.6,,1008.2,
2025-06-28 00:00:00,27.5,25,32,5.9,,,17.3,,1007.8,
2025-06-29 00:00:00,27.7,25,32,2.7,,,17.6,,1006.5,
2025-06-30 00:00:00,28.9,25,33,2,,,13.8,,1006,
2025-07-01 00:00:00,29,25,33,17,,,14.9,,1006.2,
2025-07-02 00:00:00,28.7,25,33,14.8,,,13.7,,1007.2,
2025-07-03 00:00:00,28,25,33,6.5,,,12.3,,1008.2,
2025-07-04 00:00:00,28.2,25,33,2.9,,,13.1,,1007.7,
2025-07-05 00:00:00,29.2,26,33,7.7,,,16.3,,1006.5,
2025-07-06 00:00:00,29.2,27,34,10.5,,,19.4,,1006.9,
2025-07-07 00:00:00,28.2,26,33,17.4,,,17.8,,1008.1,
2025-07-08 00:00:00,28.8,26,32,12.7,,,16.8,,1008.4,
2025-07-09 00:00:00,28.8,25,33,16.2,,,19.9,,1007.5,
2025-07-10 00:00:00,29.4,25,35,28.9,,,16.4,,1005.2,
2025-07-11 00:00:00,29.8,27,34,4,,,23,,1004.4,
2025-07-12 00:00:00,29.6,27,34,10.6,,,15.8,,1005.8,
2025-07-13 00:00:00,29.5,27,33,10.1,,,15.6,,1006.9,
2025-07-14 00:00:00,28.2,26,31,13.2,,,12.7,,1007,
2025-07-15 00:00:00,28.9,26,34,17.6,,,18.7,,1006.5,
2025-07-16 00:00:00,28,26,34,15,,,15.6,,1007.8,
2025-07-17 00:00:00,27.5,25,32,6,,,12.5,,1007.5,
2025-07-18 00:00:00,29,26,33,7.2,,,14,,1006.6,
2025-07-19 00:00:00,27.8,26,31,12,,,19.5,,1004.4,
2025-07-20 00:00:00,26.4,24,31,2,,,17.4,,1004.8,
2025-07-21 00:00:00,27,24,32,6.9,,,19.6,,1005.7,
2025-07-22 00:00:00,28.7,24,34,0.7,,,21.5,,1004.9,
2025-07-23 00:00:00,29.8,27,34,6.9,,,22.9,,1004.5,
2025-07-24 00:00:00,29.9,27,34,0,,,20.5,,1005.7,
2025-07-25 00:00:00,29.8,26,34,0,,,19.3,,1005.8,
2025-07-26 00:00:00,29.8,27,34,0,,,18.9,,1006.4,
2025-07-27 00:00:00,27.5,26,32,7.6,,,20.3,,1006.8,
